,Node,Latitude,Longitude
16373,16373,34.443989,-119.875038
16374,16374,34.445492,-119.855331
16375,16375,34.44091,-119.249718
16376,16376,34.443512,-119.248123
16377,16377,34.448116,-119.241371
16378,16378,34.440384,-119.250053
16379,16379,34.43417,-119.25676
16380,16380,34.434799,-119.260147
16381,16381,34.435921,-119.262657
16382,16382,34.444988,-119.273064
16383,16383,34.458195,-119.281853
16384,16384,34.463882,-119.286377
16385,16385,34.473053,-119.287361
16386,16386,34.476936,-119.289093
16387,16387,34.479897,-119.291069
16388,16388,34.485512,-119.302254
16389,16389,34.488705,-119.303963
16390,16390,34.493523,-119.303757
16391,16391,34.498817,-119.302467
16392,16392,34.50346,-119.297546
16393,16393,34.506065,-119.290108
16394,16394,34.506329,-119.287064
16395,16395,34.504116,-119.279823
16396,16396,34.505993,-119.275963
16397,16397,34.513847,-119.271378
16398,16398,34.515678,-119.271408
16399,16399,34.516582,-119.272797
16400,16400,34.516567,-119.274193
16401,16401,34.511444,-119.281036
16402,16402,34.511425,-119.282982
16403,16403,34.513706,-119.283852
16404,16404,34.524593,-119.274597
16405,16405,34.525299,-119.273499
16406,16406,34.526047,-119.267677
16407,16407,34.535076,-119.260338
16408,16408,34.536732,-119.256203
16409,16409,34.537029,-119.249283
16410,16410,34.535213,-119.247864
16411,16411,34.533142,-119.248108
16412,16412,34.528519,-119.25164
16413,16413,34.527161,-119.249397
16414,16414,34.52766,-119.246078
16415,16415,34.534195,-119.235367
16416,16416,34.549709,-119.243927
16417,16417,34.551075,-119.245331
16418,16418,34.551956,-119.248398
16419,16419,34.552742,-119.260887
16420,16420,34.55386,-119.263969
16421,16421,34.555904,-119.265388
16422,16422,34.558422,-119.265984
16423,16423,34.560955,-119.26519
16424,16424,34.56398,-119.26107
16425,16425,34.570709,-119.254799
16426,16426,34.572777,-119.254272
16427,16427,34.580296,-119.259392
16428,16428,34.582554,-119.262756
16429,16429,34.588577,-119.278397
16430,16430,34.592781,-119.292892
16431,16431,34.595398,-119.305153
16432,16432,34.594963,-119.323189
16433,16433,34.595844,-119.32653
16434,16434,34.602329,-119.341629
16435,16435,34.602757,-119.344139
16436,16436,34.601521,-119.351891
16437,16437,34.601959,-119.353844
16438,16438,34.604671,-119.356941
16439,16439,34.60981,-119.36924
16440,16440,34.613659,-119.373749
16441,16441,34.616852,-119.375473
16442,16442,34.622799,-119.377243
16443,16443,34.630127,-119.378197
16444,16444,34.640697,-119.376991
16445,16445,34.6446,-119.377342
16446,16446,34.6455,-119.378754
16447,16447,34.644051,-119.384552
16448,16448,34.644718,-119.386513
16449,16449,34.64793,-119.386574
16450,16450,34.653709,-119.383331
16451,16451,34.65559,-119.379204
16452,16452,34.657921,-119.376457
16453,16453,34.659126,-119.371201
16454,16454,34.662113,-119.370972
16455,16455,34.663731,-119.370171
16456,16456,34.664478,-119.364899
16457,16457,34.665878,-119.363258
16458,16458,34.667477,-119.363838
16459,16459,34.669224,-119.371094
16460,16460,34.671516,-119.371689
16461,16461,34.674511,-119.370628
16462,16462,34.675678,-119.36898
